Category,C,A,D,U,Sent_Mean,Sent_Std,U_norm,C_norm,A_norm,D_log,D_norm,Score_Oportunidade,P_norm
COMMUNICATION,307,4.151465798045603,78671796.51465797,248.17589576547232,0.1759685117704002,0.3414156229768093,0.696306341591201,0.7178308823529411,0.16970684039087947,7.895819073161107,1.0,0.16544711120640906,0.34847679639247864
ENTERTAINMENT,121,4.14297520661157,20993884.29752066,82.55371900826447,0.13596296438856142,0.34137276395085864,0.23162071356725994,0.8887867647058824,0.1714049586776859,7.322092820055751,0.9273379686401979,0.2054097995622972,0.6572706424903878
GAME,1088,4.2831801470588236,29640590.732536763,279.2490808823529,0.06184574313090219,0.270507902758993,0.7834882807702093,0.0,0.14336397058823525,7.47188686946958,0.9463092809291279,0.20866215962809082,0.6824018039544958
NEWS_AND_MAGAZINES,214,4.128504672897196,25201451.635514017,153.5607476635514,0.1506226849819517,0.31724322691184625,0.4308449137971969,0.8033088235294118,0.17429906542056073,7.401425574646845,0.9373854068927734,0.16662054192989456,0.3575439588167791
PHOTOGRAPHY,304,4.182894736842105,31977773.45394737,242.76315789473685,0.22287042673416135,0.38198687091536304,0.6811198397226811,0.7205882352941176,0.16342105263157902,7.504848235019874,0.9504838149761824,0.1591164441812017,0.29955939119516384
PRODUCTIVITY,334,4.201796407185629,37314581.37724551,273.8862275449102,0.18730329825329442,0.3076521350301173,0.7684417397821443,0.6930147058823529,0.1596407185628742,7.571878585383649,0.9589731622804564,0.12034883677682287,0.0
SOCIAL,244,4.254918032786885,51286235.55327869,167.25819672131146,0.08798534104890987,0.33774960776670765,0.46927580416679937,0.7757352941176471,0.14901639344262296,7.7100008311751065,0.976466248749592,0.24976426671779778,1.0
TOOLS,735,4.048027210884354,15592822.448979592,356.4176870748299,0.21453880640789375,0.36152525181098016,1.0,0.3244485294117647,0.1903945578231292,7.192924761583202,0.9109789237740855,0.14698644540308642,0.2058302370777016
TRAVEL_AND_LOCAL,206,4.094174757281554,30883297.572815534,160.32038834951456,0.19972169121330977,0.38804239852803896,0.4498104167200189,0.8106617647058824,0.1811650485436893,7.489723680117891,0.9485683006056222,0.1883207073147292,0.5252223059407028
VIDEO_PLAYERS,162,4.06358024691358,38499365.43209877,295.74074074074076,0.13610285782549963,0.3830410999626159,0.8297588797231883,0.8511029411764706,0.18728395061728398,7.585453582565449,0.9606924262423098,0.2469382421371163,0.9781631558001206
